speaker	vowel	height	back	syllable	duration	male	young	word	freq
1	ae	low	0	DXt	87	0	0	that	7.47420480649612
1	e	mid	0	DX	75	0	0	they	6.96790920180188
1	i	high	0	TrX	118	0	0	three	4.47733681447821
1	ae	low	0	bX	139	0	0	ballot	0
1	i	high	0	wX	31	0	0	we	6.10924758276437
1	ae	low	0	lXst	80	0	0	last	3.46573590279973
1	o	mid	1	vX	152	0	0	voted	1.94591014905531
1	i	high	0	TrX	80	0	0	three	4.47733681447821
1	ae	low	0	pXs	196	0	0	pass	2.56494935746154
1	e	mid	0	DX	92	0	0	they	6.96790920180188
1	e	mid	0	wX	154	0	0	way	4.90527477843843
1	ae	low	0	hXv	74	0	0	have	6.41345895716736
1	e	mid	0	wXz	60	0	0	ways	2.63905732961526
1	o	mid	1	DXz	109	0	0	those	4.87519732320115
1	i	high	0	rXd	44	0	0	read	3.36729582998647
1	o	mid	1	nX	94	0	0	know	5.98393628068719
1	e	mid	0	sX	143	0	0	say	4.80402104473326
1	o	mid	1	nX	152	0	0	no	5.22035582507832
1	e	mid	0	sX	216	0	0	say	4.80402104473326
1	ae	low	0	DXt	163	0	0	that	7.47420480649612
1	ae	low	0	pXst	167	0	0	passed	1.38629436111989
1	u	high	1	tX	64	0	0	two	4.75359019110636
1	i	high	0	bX	79	0	0	be	5.89715386763674
1	u	high	1	nX	108	0	0	new	2.99573227355399
1	o	mid	1	rXdz	141	0	0	roads	0
1	ae	low	0	DXt	164	0	0	that	7.47420480649612
1	o	mid	1	dXnt	106	0	0	donXt	6.361302477573
1	i	high	0	wX	39	0	0	we	6.10924758276437
1	i	high	0	bX	47	0	0	be	5.89715386763674
1	u	high	1	dX	108	0	0	do	5.89715386763674
1	ae	low	0	DXt	121	0	0	that	7.47420480649612
1	e	mid	0	tX	87	0	0	taking	2.83321334405622
1	o	mid	1	nX	109	0	0	no	5.22035582507832
1	i	high	0	hX	90	0	0	he	6.00635315960173
1	ae	low	0	hXz	122	0	0	has	4.60517018598809
1	o	mid	1	dXnt	78	0	0	donXt	6.361302477573
1	o	mid	1	nX	49	0	0	know	5.98393628068719
1	o	mid	1	dXnt	92	0	0	donXt	6.361302477573
1	o	mid	1	vXts	114	0	0	votes	0
1	e	mid	0	DX	66	0	0	they	6.96790920180188
1	o	mid	1	gX	105	0	0	go	5.48063892334199
1	u	high	1	TrX	127	0	0	through	3.97029191355212
1	ae	low	0	bXd	146	0	0	bad	3.93182563272433
1	o	mid	1	DX	88	0	0	though	3.3322045101752
